"x"
409020.929903478
410073.349412615
411126.132330538
412178.897664039
413231.663848405
414284.4299916
415337.196136787
416389.962281878
417442.728426973
418495.494572068
419548.260717163
420601.026862258
421653.793007353
422706.559152449
423759.325297544
424812.091442639
425864.857587734
426917.623732829
427970.389877924
429023.156023019
430075.922168114
431128.688313209
432181.454458305
433234.2206034
434286.986748495
435339.75289359
436392.519038685
437445.28518378
438498.051328875
439550.81747397
